Sample_Index,Zone_ID,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Is_Medoid
0,2,0.11928167447929251,0.0004915625649785494,0.0018051576024739298,0.878421605353255,0
1,3,0.11214015390284654,0.00041374144130588406,0.0017135549967948946,0.8857325496590527,0
2,4,0.4953547673160242,0.02840822880258484,0.12731124809247416,0.3489257557889167,0
3,5,0.11952482488782817,0.0004925654710150067,0.0018088398702651896,0.8781737697708916,0
4,6,0.1203288722936937,0.0004942129932373467,0.0018283023331392414,0.8773486123799297,0
5,7,0.6085698861284896,0.014496401838348612,0.057748669173587765,0.319185042859574,0
6,8,0.11971986773511488,0.0004926925719119539,0.001809525550375343,0.8779779141425978,0
7,9,0.10713126672253387,0.00041933186091836606,0.0016230383279961691,0.8908263630885516,0
8,10,0.28451596770435433,0.0009039142902883331,0.00461609420694896,0.7099640237984083,0
9,11,0.11551508386498195,0.00043917117945080375,0.001770348942270628,0.8822753960132966,0
10,12,0.1182047958000098,0.000476211480083068,0.0017763289793496283,0.8795426637405575,0
11,13,0.506172414543448,0.01578962431513594,0.11525801619211568,0.3627799449493003,0
12,14,0.3315991587669434,0.0010359991467953703,0.005925884414318339,0.6614389576719428,0
13,15,0.11830807050625897,0.0004862790502109451,0.0017871796115036397,0.8794184708320265,0
14,16,0.09999748710748331,0.00037595520605805915,0.0018189168341531915,0.8978076408523054,0
15,17,0.290430769157636,0.001074018330637786,0.007153106976326638,0.7013421055353996,0
16,18,0.17409377501741927,0.0006791729580958049,0.004031089232586299,0.8211959627918985,0
17,19,0.10284559510604217,0.0003794684743644712,0.0015542432381448418,0.8952206931814485,0
18,20,0.08868417186322322,0.0003313226046716538,0.00141293648334517,0.9095715690487599,0
19,21,0.11753683204332459,0.0004702101141184973,0.0017853205810929044,0.880207637261464,0
20,22,0.11300859236562519,0.0004091186105874337,0.0019131247830516005,0.8846691642407358,0
21,23,0.108885960617053,0.0004550849511780536,0.0017058588560386397,0.8889530955757303,0
22,24,0.5376424530181209,0.004576641098048565,0.031354572861435455,0.426426333022395,0
23,25,0.3863347203517273,0.0019148919812893071,0.012309236774223414,0.59944115089276,0
24,26,0.19104113225363303,0.0006827338969094908,0.003482036524859823,0.8047940973245977,0
25,27,0.12017534273991048,0.0004955841711550919,0.0018201207231531178,0.8775089523657813,0
26,28,0.31141941605556417,0.0013301588795519546,0.0078007038850196,0.6794497211798641,0
27,29,0.10608064348957516,0.00039748581554131443,0.0016595998693628934,0.8918622708255205,0
28,30,0.11963720078643254,0.00047270990054855335,0.001809650826846081,0.8780804384861729,0
29,31,0.11440482851526022,0.0004687810178897288,0.0017316117926312747,0.8833947786742188,0
30,32,0.1102328944434636,0.0004431536162686815,0.0016390580854435837,0.8876848938548242,0
31,33,0.2817213071094334,0.000869757876277553,0.004279672764231952,0.713129262250057,0
32,34,0.09442169785845786,0.00035688897922510576,0.0014802621624085944,0.9037411509999084,0
33,35,0.43825654661966973,0.001995580335386746,0.013205351131686376,0.5465425219132571,0
34,36,0.6116817312486708,0.0025776377764795445,0.009773394807004093,0.37596723616784555,0
35,37,1.0,0.0,0.0,0.0,1
36,38,0.12199329198134014,0.00044767038409642085,0.0018416287437316664,0.8757174088908317,0
37,39,0.4634282869740849,0.0014485135418206242,0.008409269753929563,0.526713929730165,0
38,40,0.17305479685142627,0.0006116682433146169,0.002860546547824297,0.8234729883574348,0
39,41,0.488722033475045,0.020564939178261223,0.13211784568094198,0.3585951816657517,0
40,42,0.5543637729750285,0.013759180571374909,0.07068942149290755,0.36118762496068896,0
41,43,0.1792693458581365,0.10652750606202448,0.5512672962224308,0.16293585185740833,0
42,44,0.11952482488782817,0.0004925654710150067,0.0018088398702651896,0.8781737697708916,0
43,45,0.43061143225493465,0.0016994641821657449,0.008685320245602203,0.5590037833172975,0
44,46,0.11869103547527585,0.0004876895443182873,0.0017911528473692731,0.8790301221330366,0
45,47,0.13757912029653763,0.0004636348649256217,0.0019732772008309177,0.8599839676377059,0
46,48,0.09625100634284163,0.5973489578797199,0.2468506337015465,0.059549402075892086,0
47,49,0.2681034806776618,0.0009352016856885981,0.005075523814600763,0.7258857938220488,0
48,50,0.44756263926120454,0.029832835368892918,0.1902118759781201,0.3323926493917825,0
49,51,0.2536393129359224,0.0008845419372339286,0.0051791573590836675,0.7402969877677601,0
50,52,0.11878194357709242,0.00043577034134345544,0.0016863352151878766,0.8790959508663762,0
51,53,0.12286774934571915,0.0004992996583266776,0.002720157568579848,0.8739127934273743,0
